"","SPP2","familiarity","forage_impact","forage_uncertainty","livestock_impact","livestock_uncertainty","water_impact","water_uncertainty","wildfood_impact","wildfood_uncertainty","forest_product_impact","forest_product_uncertainty","pollination_impact","pollination_uncertainty","eco_integrity_impact","eco_integrity_uncertainty","biodiversity_impact","biodiversity_uncertainty","scale_size","scale_uncertainty"
"353","eastern redcedar",5,-4,1,-4,1,-4,2,-2,3,4,1,0,1,-4,1,-3,3,4,1
"354","eastern redcedar",4,-1,NA,-1,NA,-1,NA,-1,NA,-1,NA,0,NA,-1,NA,-1,NA,3,NA
"355","eastern redcedar",3,-5,1,-2,5,-3,4,-3,4,1,5,-3,5,-3,5,-3,2,6,2
"356","eastern redcedar",4,-4,2,-3,2,0,3,-4,2,-3,2,0,3,-1,3,-2,3,10,2
"357","eastern redcedar",4,-3,2,-3,2,-1,3,2,2,2,3,-1,2,-4,3,-3,2,6,2
"358","eastern redcedar",4,-2,3,-1,2,-2,2,-1,2,0,1,-1,2,0,1,-1,2,6,2
"359","eastern redcedar",4,-4,NA,-4,NA,-4,NA,-4,NA,NA,1,NA,NA,-3,NA,-4,NA,4,NA
"360","eastern redcedar",4,-4,1,-5,1,-2,4,1,3,-3,4,-2,4,-4,3,-4,2,6,3
"361","smooth brome",4,-5,2,-3,3,-2,3,-2,3,-1,4,0,4,-3,2,-4,2,7,3
"362","smooth brome",5,NA,NA,-2,NA,-1,NA,-2,NA,-1,NA,0,NA,-1,NA,NA,NA,7,NA
"363","smooth brome",NA,-2,NA,-2,NA,-2,NA,-2,NA,NA,NA,NA,NA,-2,NA,-2,NA,4,NA
"364","smooth brome",2,-2,4,-2,3,-1,3,-2,3,1,3,0,3,-2,3,-4,3,8,3
"365","smooth brome",5,0,1,0,1,0,1,0,1,0,1,0,1,-2,2,0,1,6,2
"366","smooth brome",4,-4,3,-4,4,0,3,-4,4,0,1,-3,2,-4,3,-4,3,4,3
"367","smooth brome",3,-5,4,0,2,0,2,0,2,0,2,-1,2,0,1,-5,2,10,3
"368","smooth brome",4,-3,2,-2,2,-3,3,-3,3,-3,3,-3,2,-3,3,-4,2,4,2
"369","smooth brome",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","smooth brome",2,-2,3,-1,3,-1,2,-1,2,-1,3,-1,2,-2,2,-2,2,8,2
"371","smooth brome",3,-1,2,0,2,-1,2,-1,2,-1,3,-1,2,0,2,0,2,7,3
"372","smooth brome",3,0,2,0,2,0,3,0,3,0,3,0,2,0,3,0,3,1,2
"373","smooth brome",3,-5,4,-5,4,1,4,-4,3,0,4,-4,4,-5,5,-5,5,10,5
"374","smooth brome",2,-3,5,0,5,0,5,1,5,0,5,0,5,-1,5,0,5,NA,5
"375","smooth brome",2,-4,2,-2,3,0,3,-2,3,-2,3,0,5,-2,4,-2,3,4,2
"376","smooth brome",4,-5,NA,-5,NA,-4,NA,-5,NA,-2,NA,0,NA,-5,NA,-5,NA,6,NA
"377","smooth brome",2,0,1,0,1,0,1,0,1,0,1,0,1,NA,NA,0,1,NA,NA
"378","smooth brome",2,-1,NA,-1,NA,NA,3,NA,3,NA,2,NA,3,NA,3,NA,3,4,NA
"379","smooth brome",2,-2,2,-1,3,0,4,-1,4,0,3,0,2,-2,3,-2,3,3,3
"380","smooth brome",1,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5
"381","smooth brome",3,1,2,1,2,1,2,1,2,1,2,1,3,-1,3,1,3,3,3
"382","smooth brome",1,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,4,2
"383","smooth brome",2,-2,4,-2,4,0,4,1,4,0,3,-1,3,-3,3,-3,3,6,3
"384","smooth brome",3,-5,1,-5,1,0,2,-5,1,0,2,-5,1,-4,3,-5,1,5,1
"385","smooth brome",3,-2,NA,-2,3,-1,2,-1,3,-1,2,-1,2,-2,3,-2,3,4,3
"386","smooth brome",3,-2,4,-1,4,0,2,-2,5,0,3,-1,4,-3,3,-4,2,10,2
"387","smooth brome",2,-2,1,-3,3,-1,3,-3,3,0,3,-3,3,-3,3,-2,3,6,3
"388","smooth brome",5,-3,2,-1,2,0,2,0,1,0,3,-1,2,0,2,0,1,7,NA
"389","smooth brome",2,-1,2,2,3,0,1,1,2,0,1,0,1,-1,3,-1,2,7,3
"390","smooth brome",4,-5,1,-5,2,0,3,-5,2,-1,2,-1,3,-1,3,-4,3,9,3
"391","smooth brome",2,-3,2,-2,2,-2,3,-1,3,-2,3,0,3,NA,NA,NA,NA,NA,NA
"392","smooth brome",5,-5,5,-5,5,-2,2,-2,2,-1,3,-3,4,-2,4,-2,4,3,5
"393","smooth brome",1,0,3,0,4,0,2,0,3,0,3,0,1,-2,3,-3,3,2,3
"394","smooth brome",3,0,NA,-1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA
"395","smooth brome",2,0,5,0,5,0,5,0,5,0,5,-3,5,-1,5,-1,4,6,4
"396","smooth brome",3,-3,3,-3,3,0,3,-2,3,0,3,0,3,-1,3,-1,3,6,4
"397","smooth brome",2,0,4,0,4,-1,4,1,3,0,3,-2,4,-1,4,-1,4,1,4
"398","smooth brome",2,0,2,-1,1,0,2,-1,1,0,1,0,2,0,1,0,1,1,1
"399","smooth brome",5,-4,NA,-3,NA,-4,NA,-4,NA,NA,1,NA,1,-4,NA,-4,NA,4,NA
"400","smooth brome",NA,0,4,0,3,-1,4,-2,3,-2,NA,-3,4,-4,3,-5,1,8,2
